"feed url","website url",source,article
http://time.com/rss,http://time.com,test,http://time.com/money/4214095/buy-sell-hold-most-popular-stocks-funds/
http://rssfeeds.usatoday.com/usatoday-NewsTopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomNation-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomWashington-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomWorld-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/News-Opinion,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomSports-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomNfl-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomCollegeFootball-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomMlb-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomNba-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomGolf-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/topfantasy,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomNhl-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomCollegeMensBasketball-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomSoccer-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/topmotorsports,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodayTennis-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodayCycling-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomOlympicsCoverage-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/usatoday-LifeTopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/toppeople,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomMovies-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomMusic-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomTelevision-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomBooks-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomMoney-TopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/UsatodaycomMoney-Healey,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
http://rssfeeds.usatoday.com/usatoday-TechTopStories,http://www.usatoday.com,test,http://www.usatoday.com/story/money/markets/2016/02/17/6-stocks-make-investors-100b-richer-3-days/80502850/
